Name,Description,Price,Image URL,Product URL
"Cover sidostol
Oak",Cover Side Chair från danska Muuto är ett elegant föredöme på en tidlös stol i trä. Det kurvade ryggstödet sluts på ett elegant sätt kring de bakre stolsbenen vilket skapar både stil och lekfullhet samtidigt som komforten är en viktig faktor. Den moderna stolen är staplingsbar och blir väldigt vacker kring middagsbordet.,4 237 kr,https://www.nordicnest.se/assets/blobs/muuto-cover-sidostol-oak/43375-01-01-618fd35b3b.jpg?preset=medium&dpr=2,https://www.nordicnest.se/varumarken/muuto/cover-side-chair/?variantId=43375-01
"Prima Vista stol björk ljus mattlack
Läder elmotique 43807 cognac","Prima Vista stol i massiv björk med ljus mattlack från Stolab är en bekväm stol med en noga genomtänkt design. Den mattlackade ytan framhäver träets naturliga struktur samtidigt som den miljövänliga, vattenbaserade lacken ger en slitstark yta som håller sig fin år efter år. Stolen är en del av den populära Prima Vista-serien som är formgiven av Marit Stigsdotter och Staffan Lind. Stolens bakben med sin lätta böjning vid ryggbrickan tillsammans med den mjukt rundade ryggen och behagliga sitsen skapar de små detaljerna som gör Prima Vista både stilren och bekväm att sitta på.",4 990 kr,https://www.nordicnest.se/assets/blobs/stolab-prima-vista-stol-bjork-ljus-mattlack-lader-elmotique-43807-cognac/567113-01_1_ProductImageMain-2d01da75e5.jpeg?preset=medium&dpr=2,https://www.nordicnest.se/varumarken/stolab/prima-vista-stol-bjork-ljus-mattlack/?variantId=567113-01
"Ekeryd matstol
Webbing-laquered oak",,2 097 kr,https://www.nordicnest.se/assets/blobs/1898-ekeryd-matstol-webbing-laquered-oak/614510-01_1_ProductImageMain-96d20ea545.png?preset=medium&dpr=2,https://www.nordicnest.se/varumarken/1898/ekeryd-matstol/?variantId=614510-01
"Horizon stol
Laqurered oak","Horizon stol från det svenska varumärket Scandi Living omfamnar raka linjer tillsammans med mjuka former, och blir en elegant och tidlös detalj i ditt hem. Horizon är en solitär och stilren stol som passar i många typer av miljöer, ensam eller i matgrupp.",2 925 kr,https://www.nordicnest.se/assets/blobs/scandi-living-horizon-stol-laqurered-oak/591406-01_1_ProductImageMain-a5486653be.png?preset=medium&dpr=2,https://www.nordicnest.se/varumarken/scandi-living/horizon-stol/?variantId=591406-01
"Ton no.14 stol
Coffee B4-New Rottingsits","Stolen no.14 från Ton formgavs av Michael Thonet år 1859 och kallas ofta för ""stolarnas stol"". Den klassiska stolen har tillverkats i otaliga exemplar och finns i många hem och miljöer världen över. Med sin lätta vikt och enkla formspråk så är den väl värd sitt smeknamn.",4 332 kr,https://www.nordicnest.se/assets/blobs/ton-ton-no14-stol-coffee-b4-new-rottingsits/ton-chair-rottingsits-coffee-485b5fdf88.jpeg?preset=medium&dpr=2,https://www.nordicnest.se/varumarken/ton/ton-chair-no1402-stol/?variantId=546034-01
"Must stol med sits 2-pack
Svart","Must stol från House Doctor är tillverkad av poppel, bok, stål och polyuretan. Denna stol kombinerar ett traditionellt utseende med samtida linjer, vilket gör den idealisk för matrummet. Ryggstödet i trä skapar en naturlig kontrast till sitsen i läderimitation och den lätta stålramen. Must stolen erbjuder både komfort och estetik, vilket gör den till ett utmärkt tillskott i hemmet och vid matbordet. Den behåller sin karaktär oavsett vilket matbord du väljer.",2 219 kr,https://www.nordicnest.se/assets/blobs/house-doctor-must-stol-med-sits-2-pack-svart/589012-01_1_ProductImageMain-94812506a2.png?preset=medium&dpr=2,https://www.nordicnest.se/varumarken/house-doctor/must-stol-med-sits-2-pack/?variantId=589012-01
"Cover armchair karmstol
Oak","Cover Armchair från Muuto är en väldesignad sittmöbel skapad av formgivaren Thomas Bentzen. Cover Armchair är en modern version av en klassisk karmstol med armstöd, välvd rygg och bred sits. Unikt för Cover är att den är tillverkad helt i trä och ingen metall vilket ger den en exklusiv och unik känsla. Stolen kan placeras runt ett matbord men är även en perfekt kontorsstol då den håller hög komfort med sin sits, välvda rygg och armstöd där armarna kan vila bekvämt. Cover Armchair finns i flera färgställningar som är fina en och en men även mixade tillsammans!",3 996 kr,https://www.nordicnest.se/assets/blobs/muuto-cover-armchair-karmstol-oak/p_31167-01-01-0f3841a56c.jpg?preset=medium&dpr=2,https://www.nordicnest.se/varumarken/muuto/cover-stol/?variantId=31167-01
"Lilla Åland stol ek
Vitolja","Lilla Åland stol ek från svenska Stolab är en älskad klassiker designad av Carl Malmsten. Stolen kan till sin form tyckas vara enkel, men med mjuka former och svarvade pinnar och avslut är det en väl arbetad stol som har en given plats bland 1900-talets möbelklassiker. Pinnstolen passar väl in i de flesta hem och inredningsstilar och i kombination med den specialdesignade stolsdynan ges du en ännu mjukare och mer bekväm sittupplevelse.",5 450 kr,https://www.nordicnest.se/assets/blobs/stolab-lilla-aland-stol-ek-vitolja/514975-01_1_ProductImageMain-f5f3eb5b59.jpeg?preset=medium&dpr=2,https://www.nordicnest.se/varumarken/stolab/lilla-aland-stol-ek/?variantId=514975-01
"Found stol manchester
Sand",Found stol från House Doctor är en stilren stol med en minimalistisk design. Den stoppade sitsen med det mjuka manchestertyget adderar en lyxig känsla till matplatsen och gör även att du kan sitta kvar länge och konversera vid matbordet.,1 099 kr,https://www.nordicnest.se/assets/blobs/house-doctor-found-stol-manchester-sand/45440-01_1_ProductImageMain-5ace810cb3.png?preset=medium&dpr=2,https://www.nordicnest.se/varumarken/house-doctor/found-stol-single/?variantId=45440-01
"ZigZag stol
Ek olja","ZigZag stol från Hans K är en exklusiv pinnstol i massivt material, skapad av formgivaren Markus Johansson. Den lekfulla designen utgår från en karakteristisk pinnstol med genuina detaljer och svarvade pinnar. ZigZag kollektionen erbjuder ett unikt grafiskt uttryck som förhöjer varje rum.",3 595 kr,https://www.nordicnest.se/assets/blobs/hans-k-zigzag-stol-ek-olja/zigzag_stol_ek_olja-9d84c3b02d.png?preset=medium&dpr=2,https://www.nordicnest.se/varumarken/hansk/zigzag-stol/?variantId=561203-01
